Character,Frequency,Radical_position,Radical,Strokes
唷,3964,口 30.8,口,11
殡,3965,歹 78.10,歹,14
淖,3966,水 85.8,水,11
诰,3967,言 149.7,言,9
恣,3968,心 61.6,心,10
睐,3969,目 109.7,目,12
婵,3970,女 38.8,女,11
榈,3971,木 75.9,木,13
氦,3972,气 84.6,气,10
靳,3973,革 177.4,革,13
蛹,3974,虫 142.7,虫,13
鸯,3975,鳥 196.5,鳥,10
惬,3976,心 61.8,心,11
蹙,3977,足 157.11,足,18
诙,3978,言 149.6,言,8
眈,3979,目 109.4,目,9
罡,3980,网 122.5,网,10
缮,3981,糸 120.12,糸,15
胤,3982,肉 130.5,肉,9
皋,3983,白 106.5,白,10
蛀,3984,虫 142.5,虫,11
偌,3985,人 9.9,人,10
疵,3986,疒 104.5,疒,11
绛,3987,糸 120.6,糸,9
葆,3988,艸 140.9,艸,12
黔,3989,黑 203.4,黑,16
喙,3990,口 30.9,口,12
烽,3991,火 86.7,火,11
儡,3992,人 9.15,人,17
佼,3993,人 9.6,人,8
斓,3994,文 67.12,文,16
嫔,3995,女 38.10,女,13
颚,3996,頁 181.9,頁,15
龈,3997,齒 211.6,齒,14
盅,3998,皿 108.4,皿,9
娓,3999,女 38.7,女,10
坂,4000,土 32.4,土,7
町,4001,田 102.2,田,7
芥,4002,艸 140.4,艸,7
瘠,4003,疒 104.10,疒,15
阂,4004,門 169.6,門,9
挎,4005,手 64.6,手,9
橇,4006,木 75.12,木,16
荟,4007,艸 140.6,艸,9
啜,4008,口 30.8,口,11
垛,4009,土 32.6,土,9
淇,4010,水 85.8,水,11
瓒,4011,玉 96.16,玉,20
篓,4012,竹 118.9,竹,15
虱,4013,虫 142.2,虫,8
跻,4014,足 157.6,足,13
龛,4015,龍 212.6,龍,11
蹒,4016,足 157.10,足,17
髯,4017,髟 190.5,髟,15
瞠,4018,目 109.11,目,16
痫,4019,疒 104.7,疒,12
掂,4020,手 64.8,手,11
潼,4021,水 85.12,水,15
酰,4022,酉 164.6,酉,13
镁,4023,金 167.9,金,14
